ID,Date,Price,Open,High,Low,Vol.,Change %
Digi_Telco,"Mar 29, 2019",4.55,4.62,4.68,4.52,4.44M,-1.09%
Digi_Telco,"Mar 28, 2019",4.6,4.59,4.62,4.58,3.90M,0.22%
Digi_Telco,"Mar 27, 2019",4.59,4.6,4.63,4.59,1.62M,-0.43%
Digi_Telco,"Mar 26, 2019",4.61,4.66,4.66,4.58,3.05M,0.66%
Digi_Telco,"Mar 25, 2019",4.58,4.56,4.62,4.56,1.14M,-1.51%
Digi_Telco,"Mar 22, 2019",4.65,4.56,4.65,4.56,2.00M,0.87%
Digi_Telco,"Mar 21, 2019",4.61,4.67,4.67,4.61,3.38M,-1.07%
Digi_Telco,"Mar 20, 2019",4.66,4.65,4.68,4.58,2.53M,0.22%
Digi_Telco,"Mar 19, 2019",4.65,4.68,4.69,4.65,1.31M,-0.43%
Digi_Telco,"Mar 18, 2019",4.67,4.6,4.67,4.6,5.41M,1.08%
Digi_Telco,"Mar 15, 2019",4.62,4.51,4.64,4.51,9.30M,1.99%
Digi_Telco,"Mar 14, 2019",4.53,4.48,4.57,4.48,3.21M,-0.44%
Digi_Telco,"Mar 13, 2019",4.55,4.54,4.57,4.53,1.78M,0.44%
Digi_Telco,"Mar 12, 2019",4.53,4.52,4.57,4.51,838.80K,0.44%
Digi_Telco,"Mar 11, 2019",4.51,4.54,4.57,4.51,1.97M,-1.10%
Digi_Telco,"Mar 08, 2019",4.56,4.57,4.66,4.54,2.94M,0.00%
Digi_Telco,"Mar 07, 2019",4.56,4.54,4.6,4.54,2.68M,-0.22%
Digi_Telco,"Mar 06, 2019",4.57,4.56,4.58,4.54,2.64M,0.22%
Digi_Telco,"Mar 05, 2019",4.56,4.53,4.61,4.53,2.89M,-0.44%
Digi_Telco,"Mar 04, 2019",4.58,4.52,4.69,4.52,2.07M,0.44%
Digi_Telco,"Mar 01, 2019",4.56,4.57,4.62,4.54,2.07M,0.22%
Digi_Telco,"Feb 28, 2019",4.55,4.63,4.65,4.53,5.93M,-2.36%
Digi_Telco,"Feb 27, 2019",4.66,4.66,4.7,4.65,2.43M,-1.06%
Digi_Telco,"Feb 26, 2019",4.71,4.71,4.72,4.67,5.65M,0.00%
Digi_Telco,"Feb 25, 2019",4.71,4.71,4.72,4.68,5.45M,0.86%
Digi_Telco,"Feb 22, 2019",4.67,4.68,4.7,4.63,5.72M,-0.64%
Digi_Telco,"Feb 21, 2019",4.7,4.73,4.73,4.69,3.21M,-0.42%
Digi_Telco,"Feb 20, 2019",4.72,4.72,4.73,4.68,6.40M,0.64%
Digi_Telco,"Feb 19, 2019",4.69,4.68,4.7,4.65,4.39M,1.08%
Digi_Telco,"Feb 18, 2019",4.64,4.65,4.68,4.63,1.83M,0.65%
Digi_Telco,"Feb 15, 2019",4.61,4.64,4.66,4.59,3.50M,0.66%
Digi_Telco,"Feb 14, 2019",4.58,4.56,4.64,4.55,3.59M,0.44%
Digi_Telco,"Feb 13, 2019",4.56,4.55,4.63,4.55,1.72M,-0.44%
Digi_Telco,"Feb 12, 2019",4.58,4.58,4.59,4.54,3.40M,0.66%
Digi_Telco,"Feb 11, 2019",4.55,4.6,4.6,4.55,1.29M,-0.66%
Digi_Telco,"Feb 08, 2019",4.58,4.6,4.61,4.56,2.89M,-0.43%
Digi_Telco,"Feb 07, 2019",4.6,4.7,4.7,4.55,3.97M,-0.43%
Digi_Telco,"Feb 04, 2019",4.62,4.7,4.75,4.61,1.74M,-0.86%
Digi_Telco,"Jan 31, 2019",4.66,4.69,4.7,4.62,8.22M,2.19%
Digi_Telco,"Jan 30, 2019",4.56,4.63,4.63,4.53,3.61M,-1.08%
Digi_Telco,"Jan 29, 2019",4.61,4.6,4.64,4.57,4.37M,0.22%
Digi_Telco,"Jan 28, 2019",4.6,4.59,4.74,4.56,3.78M,1.10%
Digi_Telco,"Jan 25, 2019",4.55,4.55,4.55,4.53,3.30M,0.44%
Digi_Telco,"Jan 24, 2019",4.53,4.52,4.53,4.49,2.37M,0.22%
Digi_Telco,"Jan 23, 2019",4.52,4.5,4.52,4.46,2.32M,0.00%
Digi_Telco,"Jan 22, 2019",4.52,4.52,4.53,4.48,3.38M,0.44%
Digi_Telco,"Jan 18, 2019",4.5,4.51,4.51,4.45,2.32M,0.00%
Digi_Telco,"Jan 17, 2019",4.5,4.49,4.52,4.45,2.39M,0.67%
Digi_Telco,"Jan 16, 2019",4.47,4.42,4.48,4.42,2.38M,0.00%
Digi_Telco,"Jan 15, 2019",4.47,4.49,4.49,4.44,3.40M,-0.22%
Digi_Telco,"Jan 14, 2019",4.48,4.44,4.48,4.4,3.48M,0.90%
Digi_Telco,"Jan 11, 2019",4.44,4.47,4.47,4.41,5.46M,0.23%
Digi_Telco,"Jan 10, 2019",4.43,4.47,4.48,4.41,4.44M,-0.45%
Digi_Telco,"Jan 09, 2019",4.45,4.48,4.49,4.42,3.80M,0.23%
Digi_Telco,"Jan 08, 2019",4.44,4.46,4.47,4.42,3.68M,-0.67%
Digi_Telco,"Jan 07, 2019",4.47,4.48,4.5,4.42,3.04M,0.45%
Digi_Telco,"Jan 04, 2019",4.45,4.44,4.48,4.42,1.50M,0.00%
Digi_Telco,"Jan 03, 2019",4.45,4.49,4.5,4.4,3.70M,0.68%
Digi_Telco,"Jan 02, 2019",4.42,4.5,4.5,4.36,1.01M,-1.78%
